OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,HighSchoolCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Kirti Chaur Higher Secondary School,HSEB,9749011183,,,"Manakot,         ",Bajura,Seti,"Manakot, Bajura  Bajura   Seti","Ten Plus Two Education,Ten Plus Two Humanities",http://edusanjal.com/college/kirti-chaur-higher-secondary-school,Public,,,,,
Dashrath Higher Secondary School,HSEB,9741114987,,,"Aatichaur,         ",Bajura,Seti,"Aatichaur, Bajura  Bajura   Seti","Ten Plus Two Education,Ten Plus Two Humanities",http://edusanjal.com/college/dashrath-higher-secondary-school,Public,,,,,
Jalpa Devi Higher Secondary School Bajura,HSEB,,,,"Khetipatal, Jugada,         ",Bajura,Seti,"Khetipatal, Jugada, Bajura  Bajura   Seti",Ten Plus Two Education,http://edusanjal.com/college/jalpa-devi-higher-secondary-school-bajura,Public,,,,,
Kanda Bhawani Higher Secondary School,HSEB,097-680133,,,"Kanda,         ",Bajura,Seti,"Kanda, Bajura  Bajura   Seti",Ten Plus Two Education,http://edusanjal.com/college/kanda-bhawani-higher-secondary-school,Public,,,,,
Tolidewal Danda Higher Secondary School,HSEB,9759001404,,,"Toli,         ",Bajura,Seti,"Toli, Bajura  Bajura   Seti","Ten Plus Two Education,Ten Plus Two Humanities",http://edusanjal.com/college/tolidewal-danda-higher-secondary-school,Public,,,,,
Tribhuwaneshwari Higher Secondary School,HSEB,9747050425,,,"Chhatara,         ",Bajura,Seti,"Chhatara, Bajura  Bajura   Seti","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/tribhuwaneshwari-higher-secondary-school,Public,,,,,
Balvikas Higher Secondary School,HSEB,9749010900,,,"Majhpali, Dahakot,         ",Bajura,Seti,"Majhpali, Dahakot, Bajura  Bajura   Seti","Ten Plus Two Education,Ten Plus Two Humanities",http://edusanjal.com/college/balvikas-higher-secondary-school,Public,,,,,
Janapriya Higher Secondary School Bajhang,HSEB,,,,"Bagadgaun,         ",Bajhang,Seti,"Bagadgaun, Bajhang  Bajhang   Seti",Ten Plus Two Education,http://edusanjal.com/college/janapriya-higher-secondary-school-bajhang,Public,,,,,
Chandrodaya Higher Secondary School Bajhang,HSEB,19-461511,,,"Bhamchaur,         ",Bajhang,Seti,"Bhamchaur, Bajhang  Bajhang   Seti",Ten Plus Two Education,http://edusanjal.com/college/chandrodaya-higher-secondary-school-bajhang,Public,,,,,
Lamatola Higher Secondary School,HSEB,,,,"Lamatola,         ",Bajhang,Seti,"Lamatola, Bajhang  Bajhang   Seti",Ten Plus Two Education,http://edusanjal.com/college/lamatola-higher-secondary-school,Public,,,,,
Bhairav Higher Secondary School Bajhang,HSEB,092-420338,,,"Jhota,         ",Bajhang,Seti,"Jhota, Bajhang  Bajhang   Seti",Ten Plus Two Education,http://edusanjal.com/college/bhairav-higher-secondary-school,Public,,,,,
Khaptad Higher Secondary School,HSEB,,,,"Kalukheti,         ",Bajhang,Seti,"Kalukheti, Bajhang  Bajhang   Seti",Ten Plus Two Education,http://edusanjal.com/college/khaptad-higher-secondary-school,Public,,,,,
Garjepani Higher Secondary School,HSEB,19-461507,,,"Rayal,         ",Bajhang,Seti,"Rayal, Bajhang  Bajhang   Seti",Ten Plus Two Education,http://edusanjal.com/college/garjepani-higher-secondary-school,Public,,,,,
Kulmastajan Higher Secondary School,HSEB,19-461506,,,"Bhatekhola,         ",Bajhang,Seti,"Bhatekhola, Bajhang  Bajhang   Seti",Ten Plus Two Education,http://edusanjal.com/college/kulmastajan-higher-secondary-school,Public,,,,,
Chaudhari Higher Secondary School,HSEB,19-4330907,,,"Chaudhari, Juji,         ",Bajhang,Seti,"Chaudhari, Juji, Bajhang  Bajhang   Seti",Ten Plus Two Education,http://edusanjal.com/college/chaudhari-higher-secondary-school,Public,,,,,
Sunkuda Higher Secondary School,HSEB,,,,"Sunkuda,         ",Bajhang,Seti,"Sunkuda, Bajhang  Bajhang   Seti","Ten Plus Two Education,Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/sunkuda-higher-secondary-school,Public,,,,,
